Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,0.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,NUL
PerkFinance,"Consumer Lending, FinTech",Seed,,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018, 
Roposo,"Internet, Social Network, TV",Series C,,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018, 
Plum Goodness,"Beauty, Health Care",Series A,0.0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,NUL
Drstore,Hospital,Seed,0.0,Mumbai,Drstore is a exclusive e- commerce platform.,2018,NUL
Wow Venue,Events,Venture - Series Unknown,,Mumbai,Wow Venue is an online platform.,2018, 
Chizel,"3D Printing, Manufacturing, Product Design",Seed,0.0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,NUL
OTO Capital,Automotive,Seed,,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,INR
Boodmo,"Automotive, Retail",Seed,,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,INR
Khabri,"Apps, Audio",Seed,0.0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,NUL
MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018, 
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,,Bangalore,A daily fantasy sports platform.,2018, 
PlanetSpark,"E-Learning, EdTech, Education",Seed,,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,INR
WheelsEMI,—,Series B,,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018, 
