,Amount($),Year of Funding,Founded,Company/Brand,Sector,Stage,HeadQuarter,What it does,Founders
688,40000000.0,2020,2011,CueMath,EdTech,Series C,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma
689,85860249.91073933,2020,2018,Gamerji,Gaming startup,Seed,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar"
690,1200000.0,2020,2014,5C Network,HealthTech,Pre-series A,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam
691,750000.0,2020,2020,Ethereum Push Notification Service,Blockchain startup,Seed,Mumbai,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi"
692,1500000.0,2020,2016,Mihup,Conversational AI platform,Series A,Kolkata,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman"
693,500000.0,2020,2019,RuralBasket,E-commerce,Series A,"Tirunelveli, Tamilnadu",Naturally grown and healthy products directly from farmers.,Palani Rajan
694,7800000.0,2020,2015,WayCool Foods,AgriTech,Debt,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari"
695,20000000.0,2020,2016,Infra.Market,Real Estate,Series B,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta"
696,50000000.0,2020,1995,Info Edge Venture,Venture capitalist,Series A,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani
697,4000000.0,2020,2013,Clovia,E-commerce,Pre-series C,Noida,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani"
698,560000.0,2020,2020,Codingal,EdTech,Seed,Bangalore,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash"
699,80000000.0,2020,2018,CRED,Finance company,Series C,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah
700,30000000.0,2020,2010,Vistaar Finance,Finance company,Series A,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala"
701,1700000.0,2020,2020,Let's Dive,SaaS platform,Series A,Bangalore,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash"
702,600000.0,2020,2016,Habitat,EdTech,Seed,Bangalore,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan"
703,600000.0,2020,2020,SAWO Labs,SaaS platform,Seed,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu
704,3000000.0,2020,2015,Signzy,AI platform,Series A,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan"
705,85860249.91073933,2020,2013,KopyKitab,EdTech,Series A,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma"
706,2500000.0,2020,2020,Kyt,EdTech,Series A,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja"
707,1000000.0,2020,2019,Raskik,Fusion beverages,Pre-series A,Bangalore,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram"
708,40000.0,2020,2019,GetWork,HR Tech,Pre-seed,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal
709,500000.0,2020,2018,Mobile Premier League (MPL),Gaming,Series B,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra"
710,33000000.0,2020,2020,Pravasirojgar,Job portal,Series A,Bangalore,Initiative for blue-collar job workers,Sonu Sood
711,85860249.91073933,2020,2017,Omatra Hotels,Hospitality,Seed,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS"
712,85860249.91073933,2020,2016,Awign,Job portal,Pre-series B,Bangalore,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah"
713,1500000.0,2020,2018,NewsReach,Digital Media,Seed,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani"
